"Epic","ID","Rol","Historia","Reglas de negocio","Estado","Trazabilidad","Tests","Notas"
"COTIZACIÓN","HU-001","Admin","Como administrador quiero que cada cotización avance por estados definidos para controlar su ciclo de vida","• Estados: COTIZADO → SOLICITADO → BLOQUEADO → AGENDADO/RECHAZADO
• Estado por defecto al crear: COTIZADO (quoted)
• Convertir a reservación cambia a SOLICITADO","✅ En producción","Quote.getStatus/setStatus (src/domain/models/Quote.js) · POST /api/quotes/:id/convert-to-reservation","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-002","Admin","Como administrador quiero crear, editar y duplicar cotizaciones para gestionar ofertas","• Crear genera folio QTE-YYYY-####
• Duplicar incrementa ""Opción X"" en eventType, copia serviceItems y pone validUntil = hoy+30 días
• Metadata e itinerario se editan por separado","✅ En producción","QuoteController.createQuote/duplicateQuote · POST /api/quotes · POST /api/quotes/:id/duplicate · PUT /api/quotes/:id · PUT /api/quotes/:id/service-items","tests/integration/api/quotes-duplicate.test.js","Verificado con test"
"COTIZACIÓN","HU-003","Admin","Como administrador quiero asignar y transferir la propiedad de una cotización para gestionar responsables","• Cada cotización tiene exactamente un propietario actual (isCurrent)
• Transferencia crea registro histórico con razón y timestamp
• Al transferir se desactiva la colaboración del propietario anterior","✅ En producción","QuoteOwnership.createInitialOwnership/transferOwnership · POST /api/quotes/:quoteId/ownership/transfer · GET /api/quotes/:quoteId/ownership/history","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-004","Admin","Como propietario de una cotización quiero gestionar colaboradores y aprobar sus ediciones para controlar cambios","• Solo el propietario agrega/quita/cambia rol de colaboradores
• Si collaborationEnabled y requireApproval, las ediciones de no-propietarios requieren aprobación
• Ediciones quedan pendientes/aprobadas/rechazadas","✅ En producción","QuoteCollaborationController · POST/DELETE/PUT /api/quotes/:quoteId/collaborators · POST /api/quotes/:quoteId/edits/:editId/approve|reject","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-005","Usuario","Como usuario con acceso quiero ver el historial de cambios de una cotización para dar seguimiento","• Registro de ediciones (quién, qué, cuándo)
• Visible para usuarios con acceso","🟡 En progreso","QuoteEdit (src/domain/models/QuoteEdit.js) · GET /api/quotes/:quoteId/edits","","La hoja pide ""visualizar de manera más sencilla"" — mejora pendiente"
"COTIZACIÓN","HU-006","Admin","Como administrador quiero recordatorios automáticos según el estatus para no perder seguimiento","• Recordatorios en cotizaciones COTIZADO
• 3 tipos: initial/follow_up/final
• Intervalo 5 días por defecto (config 1-30)
• Máx 6 recordatorios
• isDue: pending + active + nextReminderDate<=now","✅ En producción","QuoteReminder.isDue/scheduleNextReminder (src/domain/models/QuoteReminder.js)","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-007","Sistema","Como sistema quiero limitar qué cotizaciones ve cada rol para proteger la información","• Agentes solo ven las que crearon o donde son propietario/editor
• Gerentes ven todas donde la agencia es el cliente
• Administrador ve/edita todas","✅ En producción","quotesRoutes.js (middleware de roles) · GET /api/quotes · GET /api/quotes/owned","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-008","Admin","Como administrador quiero compartir la cotización por link público y correo para enviarla al cliente","• Genera URL pública
• Enviar por correo precarga emails de contacto, lead guest y propietario","✅ En producción","QuoteController.generateShareLink/sendEmail · POST /api/quotes/:id/share-link · POST /api/quotes/:id/send-email · PublicQuoteController.preparePublicQuoteData","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-009","Admin","Como administrador quiero convertir una cotización en reservación cuando se confirma","• Crea Reservation a partir de la cotización
• Cambia el estatus según el flujo (SOLICITADO/AGENDADO)","✅ En producción","QuoteController.convertToReservation · POST /api/quotes/:id/convert-to-reservation","","Estado sugerido — confirmar"
"COTIZACIÓN","HU-010","Admin","Como administrador quiero generar recibo y solicitar factura de una cotización agendada","• Recibo y solicitud de factura solo para cotización agendada
• Recibo se ajusta al diseño compartido","✅ En producción","QuoteController.generateReceipt/requestInvoice · POST /api/quotes/:id/generate-receipt · POST /api/quotes/:id/request-invoice","","Estado sugerido — confirmar"
